reference,objet_marche,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,budget,date_publication,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_requis_administratif,documents_requis_technique,documents_requis_financier,conditions_participation,chef_de_mission_diplome,chef_de_mission_experience,chef_de_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025000,Marché de prestation 0,Ministère de l'Équipement,"Rue 0, Rabat",05 37 00 00 00,05 37 00 00 00,2211656,2024-11-15,157,28,48,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025001,Marché de prestation 1,Ministère de l'Équipement,"Rue 1, Rabat",05 37 00 00 01,05 37 00 00 01,4774261,2024-03-06,157,50,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025002,Marché de prestation 2,Ministère de l'Équipement,"Rue 2, Rabat",05 37 00 00 02,05 37 00 00 02,1225636,2024-11-09,36,32,57,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,8,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025003,Marché de prestation 3,Ministère de l'Équipement,"Rue 3, Rabat",05 37 00 00 03,05 37 00 00 03,2462143,2024-09-01,109,19,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025004,Marché de prestation 4,Ministère de l'Équipement,"Rue 4, Rabat",05 37 00 00 04,05 37 00 00 04,1287058,2024-05-12,143,38,19,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025005,Marché de prestation 5,Ministère de l'Équipement,"Rue 5, Rabat",05 37 00 00 05,05 37 00 00 05,3309644,2024-02-21,85,41,14,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025006,Marché de prestation 6,Ministère de l'Équipement,"Rue 6, Rabat",05 37 00 00 06,05 37 00 00 06,1089330,2024-03-16,111,33,41,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025007,Marché de prestation 7,Ministère de l'Équipement,"Rue 7, Rabat",05 37 00 00 07,05 37 00 00 07,2255013,2024-03-08,75,45,59,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025008,Marché de prestation 8,Ministère de l'Équipement,"Rue 8, Rabat",05 37 00 00 08,05 37 00 00 08,3446482,2024-07-16,153,14,33,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025009,Marché de prestation 9,Ministère de l'Équipement,"Rue 9, Rabat",05 37 00 00 09,05 37 00 00 09,2466391,2024-02-09,108,13,43,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
